Content,Label
"wild things is a suspenseful thriller starring matt dillon , denise richards , and neve campbell that deals with all the issues ; sex , love , murder , and betrayal . 
the setting of the film is a town named blue bay . 
it consists of many swamps and slums and , on the other hand , rich estates owned by the town's different benefactors . 
the film opens just before the beginning of a senior seminar at the town's ritzy , expensive high school . 
it is here that we meet all of the core characters . 
there's guidance counselor sam lombardo , police officers ray duquette and gloria perez , dark mysterious senior suzie toller , and the popular head cheerleader kelly van ryan . 
we first see that all of the senior girls are smitten with the handsome guidance counselor , but none more than kelly . 
throughout the first portion of the film we see how far kelly will go to get sam until she accuses him of rape . 
shortly after , suzie , too , confesses that sam raped her as well . 
this pushes kelly's sex craving mother , sandra , to stop at nothing until sam is convicted . 
during the trial , kelly gives a teary confession of how sam raped her . 
however , it is later revealed by suzie that sam never raped either of the girls , it was all a vengeful plan against the guidance counselor . 
after sam is cleared , kelly's mother pays sam a very substantial amount of cash in order for him not to sue her . 
it is then revealed that sam , kelly , and suzie were all in on it together . 
it is here that the film starts to reveal just who is being honest with each other and who has their own hidden agenda . 
matt dillon stars as sam lombardo . 
sam is the kind of guy that every woman would like to sink their claws into , and sam obviously knows it and uses it to his own advantage . 
he isn't the obvious best of actors , but dillon does give a convincing performance . 
however , his talents seem to be rendered useless near the end of the film , making it look as though his character has lost all of his ethics and principles , although he never had many to start out with in the first place . 
neve campbell , who most people relate to scream and scream 2 , plays blue bay outcast suzie toller . 
suzie obviously has some serious issues to deal with which are obvious from her first scene in the film . 
campbell is very successful with this character , adding the slightest bit of charm to a seemingly repulsive character and making her fun to watch . 
playing kelly van ryan is denise richards . 
kelly is your typical , rich , sexy , head cheerleader who thinks she can have any man she choses , like her sexpot mother sandra . 
one of the most interesting things about this film is how it compares and contrasts the relationship between kelly and her mother . 
denise richards , still hot off the press from starship troopers , gives the most interesting performance in the entire film . 
in the beginning , kelly looks to be a paper thin character , but richards adds a little more spice and ultimately makes the character not only sexy , but dominating as well . 
kevin bacon gives one of his fair performances as ray duquette . 
this character looks to be one of the most boring , predictable in the film . 
however , it is a relationship revealed between him and suzie that adds depth to his story . 
still , the film doesn't seem to gain much from bacon's performance , only his name . 
in the supporting cast , theresa russell plays the much oversexed sandra van ryan , daphne rubin-vega gives an unappealing performance as cop gloria perez , and bill murray shines as sam's lawyer , ken bowden . 
hats off to murray for adding the perfect touch of comedy to the film . 
although wild things was displayed by the press as being an erotic thriller , the eroticism , which is portrayed with good taste , is kept to a minimum and focuses more on the plot and the relationships between the characters . 
this is truly a very good film worth seeing if your looking for a movie with a thick plot filled with it's share of twists . 
",pos
"hilarious , ultra-low budget comedy from film school dropout kevin smith chronicles a day in the life of two convenience store slackers ( brian o'halloran and jeff anderson ) . 
they spend most of their day ignoring customers while discussing everything from fellatio to self-fulfillment . 
the premise is strictly sitcom and the photography is grainy as all get-out , but you could spend ten times the film's budget ( a reported $27 , 000 ) and still not get dialogue half as good as this . 
originally rated nc-17 for language . 
not recommended for viewers with sensitive ears . 
killing zoe =========== 
remake reservoir dogs as a french art film and you're halfway to killing zoe , writer/director roger avary's slow-moving story of a failed bastille day bank robbery . 
eric stoltz stars as an american in paris who gets in * way * over his head when hooks up with a band of nihilistic bank robbers . 
he's the safecracker who's blissful unaware that the bank job is a botch job from the word go . 
though intriguing on all fronts , the film is paced at half the speed of pulp fiction , which avary co-wrote with quentin tarantino . 
in english and french . 
the road to wellville ===================== 
based on the novel by t . coraghessan boyle , the road to wellville doesn't go very far . 
bowels , bowels , and more bowels are explored by dr . john harvey kellogg ( a buck-toothed and bespectacled anthony hopkins ) , who , in the early 1900's , advocated abstinence , vegetarianism , and frequent defecation . 
he also invented the cornflake . 
really . 
checking-in to kellogg's battle creek sanitarium are matthew broderick and bridget fonda , just two of the many well-known faces in this failed comedy . 
leave your laughter at the door and you can marvel at the unfunny antics of john cusack , michael lerner , lara flynn boyle , john neville , and dana carvey . 
the art direction is impeccable and some of the early sequences are amusing , but the novelty quickly wears off as writer/director alan parkers tries his darnedness to turn doo-doo into drama . 
what he ends up with is something that i can't print here . 
phew ! 
stargate ======== 
lawrence of arabia meets star wars . 
this epic sci-fi film is more sheer spectacle than anything else . 
director roland emmerich ( universal solider ) shamelessly rips off lucas and spielberg and just about any other cosmic cliche that he can lay his hands on . 
the film is overlong , the characters are cardboard , and the script is filled with some of the most laughable details in modern sci-fi history . 
that said , there's still plenty to watch here . 
sci-fi fans should enjoy the sculpted sands , the morphing headdresses , and a surprisingly spunky james spader . 
he plays the egyptologist who gets to prove his theory that that "" somebody else "" built the pyramids . 
less interesting are co-stars kurt russell and jaye davidson of crying game fame . 
star trek generations ===================== 
trek fans may be more forgiving , but , for the rest of us , the sluggish star trek generations is a mixed bag at best . 
the story is interesting , but each scene goes too long . 
the cast is earnest , but the direction lacks punch . 
and so on . 
 ( the best example of the latter is a klingon comeuppance that delivers none of the impact of a similar scene in star trek ii . ) 
original enterprise captain james t . kirk appears on both ends of the story , though they cut the scene where shatner turns to the screen to plead "" get a life . "" 
remarkably unremarkable . 
miracle on 34th street ====================== 
in a season of the specialist and pulp fiction et al , maybe a remake of miracle on 34th street * is * necessary . 
john hughes certainly believes in santa claus and his les mayfield-directed production does nothing to tarnish the memory of the 1947 original . 
the romance between costars dylan mcdermott and elizabeth perkins doesn't work too well , but the film makes a strong case that richard attenborough is the definitive kriss kringle . 
his chemistry with children can moisten any eye . 
no claus for alarm . 
junior ====== 
arnold schwarzenegger pregnant ? 
sure , billy crystal did it before in rabbit test , but the sight of schwarz with a bulging belly is a casting coup comparable to dustin hoffman in tootsie . 
what should be nothing more than a one-joke premise actually gets better as it goes along . 
director ivan reitman ( dave , twins ) wisely keeps the farce to a minimum , so the first hour moves slower than you might expect . 
don't expect too many yuks from danny devito , but you can't beat those early romantic scenes between emma and arnie . 
how's * that * for a collision of acting styles ? 
",pos
"the american action film has been slowly drowning to death in a sea of asian wire-fu copycats . 
it's not a pretty death , and it's leaving the likes of schwartznager , stallone , and van damme wearing cement galoshes at the bottom of a kung fu sea . 
sometimes , the mix results in a mind-blowing spectacle unlike any other . 
quality action with amazing and exciting stunt work , as in 1999's the matrix , can be a real gem . 
but too often hollywood gets it wrong , even when they pay off chinese directors . 
flying ninjas and floating karate masters have been replaced by soaring bronx detectives and slow motion kicking scientists . 
mostly it's laughable . 
in hollywood's rush to emulate the success of the matrix , trademark asian stunt choreography has become more of a joke than an art form . 
but iron monkey , the latest asian import , shows us how to get it right . 
iron monkey ( actually a reissue of a 1993 film ) is the story of a 19th chinese vigilante ( rongguang yu ) , fighting with his own unique style of shaolin kung fu for the rights of the oppressed and the bellies of the hungry . 
but it is also a piece of the narrative of legendary chinese film hero wong fei-hong , most recently seen in one of the most overlooked , and possibly best films of 2000 , drunken master 2 ( released in the u . s . as the legend of drunken master ) . 
unlike drunken master 2 , which stars jackie chan as an adult fei-hong , iron monkey finds a much younger fei-hong ( sze-man tsang ) and his father wong kei-ying ( yen chi dan ) thrust into the middle of iron monkey's fight against oppression . 
iron monkey succeeds as no kung fu film since drunken master 2 . at times , fighting styles , especially that of monkey himself , do devolve into the ridiculous twinkle-toed floating of films like crouching tiger , hidden dragon , director yuen wo ping eventually remembers to bring his action scenes back to earth . 
iron monkey is at its heart a hardcore , kung fu action film rather than any kind of drama a la crouching tiger . 
however , there are brief moments of profoundness shared between characters , such as those that pass between our outlaw hero and his good-hearted but misguided enemy , chief fox . 
in those moments , and in others , iron monkey manages to transcend its mindless kung fu nature to touch the hearts and minds of its audience . 
while in no way the equal of a masterpiece like drunken master 2 , iron monkey dances quite nicely to the invading kung fu tune . 
aka siunin wong fei-hung tsi titmalau . 
",pos
"at first glance , it appears that the home alone movies are brainless slapstick intended for those with minds of 8-year olds . 
that's true of home alone 2 and i'd bet money that it's true of home alone 3 ( opening soon ) . 
but home alone actually has a lot going for it , and the cartoon slapstick doesn't get in the way . 
the mcalisters , all 15 of them , are going to france for the holidays . 
four adults and eleven kids are spending the night together before heading to the airport en masse . 
the littlest kid , kevin , is the victim of the older kids' cruelty . 
kevin's patience runs out when he learns that his plain-cheese pizza has already been eaten , and he's going to have to starve . 
he attacks his big bully brother buzz , who had been teasing him . 
the fight disrupts the already-chaotic dinner , spilling milk and soft drinks all over the table , a few cousins , and an uncle . 
the knee-jerk reaction is for everyone to blame kevin . 
nobody came to his rescue when he was being teased , but they all point their fingers when he fights back . 
the ultimate punishment comes from mom ( catherine o'hara ) who sends him up to the spare bedroom in the attic for the night . 
on his way up the stairs , he tells her that "" families suck "" and that he hopes never to see any of his family again . 
that night the power goes out , knocking out the alarm clocks , so the mcalisters wake up in a big hurry to get to the airport . 
in a surprisingly plausible setup , kevin is mistakenly accounted for , and the family heads off without him . 
it's interesting that , in a subtle way , his parents never noticed him missing because of their deliberate desire to separate themselves from their children . 
first they delegate the headcount to an older sibling , and second , they put all the kids in coach while they fly first class . 
they're two-thirds of the way across the atlantic before they realize they are missing a child . 
meanwhile , kevin believes that somehow his wish has come true . 
he's finally rid of his family ! 
life is a dream come true . 
he can jump on the beds , watch r-rated movies , eat gobs of ice cream and potato chips , and dig through his big brother's secret box . 
slowly , the novelty wears off and he settles into the mundane . 
he grooms himself , he does the laundry , he goes shopping ( "" i bought some milk , eggs , and fabric softener "" ) . 
he also starts to miss his family , not just for their company , but for the security they bring . 
the furnace in the basement is a scary monster , the old man next door is a snow-shovel murderer , and two crooks are trying to break into his house . 
macaulay culkin is cute but he isn't much of an actor . 
still , we can see that kevin's character grows , thanks to some good direction and editing . 
for example , acting has little to do with the emotional impact of the scene where kevin searches out a seasonal santa at night , just as "" santa "" is getting in his car . 
kevin asks the man to pass on his request - he wants his family back - to the real santa . 
he learned how to deal with the furnace . 
you turn on the lights and it's not so scary anymore . 
he goes to a church one evening and there he sees the snow-shovel murderer , who actually turns out to be a nice man . 
they talk about their fears and kevin learns that age alone does not make you less afraid . 
finally , in the last 20 minutes , kevin confronts his last fear - the bandits , head on ( literally ) . 
this last act is full of violent comedic slapstick , and after the movie's genuine dramatic setup , it is dessert . 
it's a lot of fun , and it doesn't overwhelm the rest of the movie . 
on the whole , home alone is a great holiday movie . 
john williams' original score has the sound and feel of holiday music without the disadvantage of being overplayed at the malls , and the christmas setting can put you in the mood for those family gatherings . 
but it does have its flaws . 
the smallest problem is that culkin doesn't act very well . 
as i said before , he is cute , but repeated viewings reveal more about how columbus covered himself than about culkin's insight into his character . 
the biggest problem is that during the cartoony coda , the villains threaten kevin's life about five times . 
instead of "" i'm gonna get that kid "" they say "" i'm gonna kill that kid . "" 
some might argue that the tone is the same , but i strongly disagree . 
mixing comedy with specific and viable threats of murder is a sociopathic faux-pas . 
i'll probably never see home alone 3 , and i wish i had skipped home alone 2 , but i do enjoy home alone almost every year . 
don't let your impressions of the others detract from the original , which has much more to offer than cartoon slapstick . 
",pos
" "" the fugitive "" is probably one of the greatest thrillers ever made . 
it takes realistic , believable characters and tells an exciting story that's totally believable throughout . 
this isn't an over-the-top action flick for the sake of action , this is an intelligent adventure story with a real sense of mystery to it and it works perfectly . 
harrison ford stars as dr . richard kimble , a man who is wrongly accused and convicted of murdering his wife . 
the entire premise of the story revolves around this murder , but is not told in a straightforward manner . 
we constantly see flashbacks to the murder from kimble's perspective . 
hints are dropped from various times of the night kimble's wife , helen ( sela ward ) was murdered . 
we don't get to see who the killer is until much further into the story . 
in fact , we might even have a little doubt about kimble's innocence ourselves . 
the film doesn't spend much time on the details of kimble's trial and conviction as it is not the point of the story . 
one of the greatest action scenes ensues as we get a botched escape attempt by his fellow inmates which leads to a fantastic train wreck . 
but it does not at all seem gratuitous or formulated , it is actually suspenseful to watch . 
this movie is so incredible because it's able to take elements like these and make them wholly original and believable . 
tommy lee jones almost steals the show as deputy sam gerard , a u . s . marshall who is an expert in hunting fugitives . 
from the moment he appears we know a huge game of cat and mouse is about to occur . 
kimble and gerard are equally matched as there is no way to tell how one is going to outsmart the other . 
most of the film deals with richard's complex investigation as he tries to find the one-armed man who killed his wife . 
ford does not have a lot of lines here , so it is stuart and twohy's script and davis's outstanding direction that make the film as great as it is . 
just watching richard use his keen intelligence and wits , disguising himself , and doing his own detective work is very interesting . 
we know just as little as he does as to why his wife was killed , so as he learns more so do we . 
meanwhile gerard and his staff are using all their skills to hunt him down . 
at one point they run into each other and a great chase ensues , but richard is just too smart for them . 
he leaves clues for gerard to show his innocence and to help him solve the mystery . 
one of the greatest charms to the film is its sense of humor . 
there is a great sense of comradeship between gerard and his two closest deputies cosmo renfo ( pantoliano ) and biggs ( roebuck ) . 
they are trying to catch what they believe to be a dangerous murderer , yet they constantly start up small talk with each other , making funny wisecracks and one-liners , but not in any kind of distracting manner . 
the final act concludes with another terrific chase . 
richard figures out who the killer is and confronts him , and although we get a typical fight scene , the case is far from solved . 
the man who ordered the murder has been under our nose all along , and we don't realize this until the end when both richard and gerard put the pieces together . 
maybe the finally scene is a bit much , but it still has a believable atmosphere to it . 
we're so relieved when justice is served . 
it's not the plot is that makes "" the fugitive "" great , it's all the motions the characters go through to make for an intriguing story . 
watching a seemingly average man go through as much as this is what makes the movie so adventurous . 
if only hollywood could produce more movies like this . 
 ( 10/31/96 ) ( 1/29/97 ) ( 6/13/97 ) [see also : "" nick of time "" ] 
",pos
"it has been 20 years since a terrence malick film hit theaters . 
his new film , the thin red line , is a strange , beautiful , enigmatic mess of a movie . 
the first thing that jumps out to one when they see the advertisements for this film is the huge cast . 
it is filled with above-the-title stars . 
the cast , for the most part , gives great performances . 
john travolta , whose role is nothing more than a cameo , seems not to have attacked his performance with that much verve . 
george clooney , whose role became a cameo in editing , gives a strange performance . 
one wonders if he knew that his performance would become the object of ridicule through a character's narration . 
the rest of the cast , especially nick nolte and elias koteas , are unambiguously fantastic . 
these actors ( and they are , with two exceptions , men ) were lured by the name of malick . 
terrence malick is a cinematic legend . 
he has often been called "" the j . d . salinger of cinema . "" 
his two previous films , badlands and days of heaven , are spectacularly beautiful and obscure motion pictures . 
after he made them , he disappeared for 20 years . 
this film marks his return . 
what he's made with the thin red line is a film that seems less concerned with plot than with the emotion of the moment . 
the narration which fills the film ( and perplexes many ) not only lets us hear the narrators ( the characters themselves ) pontificate , but also lets us hear such of-the-moment thoughts as "" i'm scared . "" 
the rather simple plot of the thin red line is used as a canvas on which many stories are painted . 
the plot couldly simply be boiled down to an assault on a hill . 
a plot synopsis for the thin red line is difficult , because the story is fractured . 
many stories are here , from the clash between the lieutenant ( elias koteas ) and the savage colonel ( a voracious nick nolte ) to the private ( ben chaplin ) who uses his love for the woman he left behind to keep him going . 
the fracturing of the story is ultimately a fault . 
it is as if an artist spent an incredible amount of time artfully sculpting tiny statues and then threw them into a box , shook the box , and poured the results onto a table . 
this basically creates a mess , but the stories can be discerned and enjoyed . 
i'm not declaring that the film has no structure . 
while saving private ryan used warfare to bookend the plot , malick uses reflection and glorious shots of nature to bookend about 90 minutes of combat . 
the battles in the thin red line are astonishing and display a mastery of filmmaking . 
the astounding cinematography in this film must also be given notice . 
this film uses color and light in such a fantastic way , that it will be sad to see it degraded when it has to bee transferred to video . 
ultimately , malick has crafted a film that is a movie that enjoys looking through the treetops more than regarding the war that rages below them . 
the film is filled with nature photography and the regarding of nature . 
while some have said that the anti-war message and pro-nature tubthumping was juvenile , it was done with so much complexity and thought , that it cannot ever honestly be called childish . 
after seeing the thin red line , i was haunted by it and am quite ready to see it again . 
",pos
"films adapted from comic books have had plenty of success , whether they're about superheroes ( batman , superman , spawn ) , or geared toward kids ( casper ) or the arthouse crowd ( ghost world ) , but there's never really been a comic book like from hell before . 
for starters , it was created by alan moore ( and eddie campbell ) , who brought the medium to a whole new level in the mid '80s with a 12-part series called the watchmen . 
to say moore and campbell thoroughly researched the subject of jack the ripper would be like saying michael jackson is starting to look a little odd . 
the book ( or "" graphic novel , "" if you will ) is over 500 pages long and includes nearly 30 more that consist of nothing but footnotes . 
in other words , don't dismiss this film because of its source . 
if you can get past the whole comic book thing , you might find another stumbling block in from hell's directors , albert and allen hughes . 
getting the hughes brothers to direct this seems almost as ludicrous as casting carrot top in , well , anything , but riddle me this : who better to direct a film that's set in the ghetto and features really violent street crime than the mad geniuses behind menace ii society ? 
the ghetto in question is , of course , whitechapel in 1888 london's east end . 
it's a filthy , sooty place where the whores ( called "" unfortunates "" ) are starting to get a little nervous about this mysterious psychopath who has been carving through their profession with surgical precision . 
when the first stiff turns up , copper peter godley ( robbie coltrane , the world is not enough ) calls in inspector frederick abberline ( johnny depp , blow ) to crack the case . 
abberline , a widower , has prophetic dreams he unsuccessfully tries to quell with copious amounts of absinthe and opium . 
upon arriving in whitechapel , he befriends an unfortunate named mary kelly ( heather graham , say it isn't so ) and proceeds to investigate the horribly gruesome crimes that even the police surgeon can't stomach . 
i don't think anyone needs to be briefed on jack the ripper , so i won't go into the particulars here , other than to say moore and campbell have a unique and interesting theory about both the identity of the killer and the reasons he chooses to slay . 
in the comic , they don't bother cloaking the identity of the ripper , but screenwriters terry hayes ( vertical limit ) and rafael yglesias ( les mis ? rables ) do a good job of keeping him hidden from viewers until the very end . 
it's funny to watch the locals blindly point the finger of blame at jews and indians because , after all , an englishman could never be capable of committing such ghastly acts . 
and from hell's ending had me whistling the stonecutters song from the simpsons for days ( "" who holds back the electric car/who made steve guttenberg a star ? "" ) . 
don't worry - it'll all make sense when you see it . 
now onto from hell's appearance : it's certainly dark and bleak enough , and it's surprising to see how much more it looks like a tim burton film than planet of the apes did ( at times , it seems like sleepy hollow 2 ) . 
the print i saw wasn't completely finished ( both color and music had not been finalized , so no comments about marilyn manson ) , but cinematographer peter deming ( don't say a word ) ably captures the dreariness of victorian-era london and helped make the flashy killing scenes remind me of the crazy flashbacks in twin peaks , even though the violence in the film pales in comparison to that in the black-and-white comic . 
oscar winner martin childs' ( shakespeare in love ) production design turns the original prague surroundings into one creepy place . 
even the acting in from hell is solid , with the dreamy depp turning in a typically strong performance and deftly handling a british accent . 
ians holm ( joe gould's secret ) and richardson ( 102 dalmatians ) log in great supporting roles , but the big surprise here is graham . 
i cringed the first time she opened her mouth , imagining her attempt at an irish accent , but it actually wasn't half bad . 
the film , however , is all good . 
2 : 00 - r for strong violence/gore , sexuality , language and drug content 
",pos
" * * * * * * minor plot spoilers in review * * * * * * * * * * * * no major spoilers are in review * * * * * * 
the previous two "" alien "" films have each had their own unique styles to them . 
the ridley scott's alien was very much a stylistic suspense film . 
james cameron's aliens was much more of an action film . 
and i liked each film separately for which it was . 
now alien 3 is out . 
and it is it's own film in the same right that alien and aliens were . 
unlike aliens , alien 3 requires that you have seen aliens . 
this is very important as the story picks up exactly were aliens left off . 
the survivors of the expedition to lv-426 are returning home after battling and beating the aliens . 
the climactic fight scene between ripley and the mother alien on the sulaco in aliens left behind one item , an egg . 
in the opening sequence we see the egg hatch , find its quarry , which leads to a fire aboard the sulaco when the facehugger is injured , an leads the sulaco to jettison the hypersleep tubes in an escape vessel . 
this vessel crash lands on fury 109 . 
everyone in the vessel is killed , except ripley . 
the facehugger is jettisoned with them and survives the crash . 
fury 109 is an ex-mining/maximum security prison . 
when closed down , some of the lifer prisoners decided to stay and live out the remaining years on the planet . 
all the prisoners are men who have not seen a woman in many years . 
ripley's arrival sparks a problem with the inmates . 
as for the new haircut that ripley and the prisoner's sport , there is an infestation of lice on the planet . 
being an ex-prison means that there is no way off the planet and no weapons . 
so the prisoners and ripley are off to face the alien on their own . 
i will not go into detail , but you can guess what happens here . 
the alien is loose and no one believes ripley's outstanding story . 
she finds comfort in the arms of the colony's doctor . 
yes , after 57 years ripley has sex . 
it is not gratuitous , in fact , we don't even see them kiss , but it is just as well . 
a sweaty sex scene would not have worked in the context of the film . 
there is a lot more gore in alien 3 . 
in fact i would guess to say that there is more in alien 3 than either of the earlier two . 
it also sports a new alien with 4 legs ! 
i won't say how , but it leads us to believe a few new things about the alien and its cycle , which i am sure will be explored in alien 4 . 
sigourney weaver is back as ripley and provides another excellent performance of this character . 
her scene during the autopsy of newt is enough to garnish her another academy nomination . 
the rest of the cast is also quite good . 
notably , charles dance as the doctor with whom ripley finds momentary escape from fury 109 . 
alien 3 has a very distinct look . 
this is due largely to its director , david fincher . 
mr . fincher , who until now has only directed music videos and commercials , has done an incredible job here . 
his direction is excellent and makes this film come to life in ways no "" alien "" film has before . 
for mr . fincher , i see a long prosperous career ahead of him . 
the music was also done by a newcomer to the film industry . 
elliot goldenthal has created a deeply moving score which lends itself to the claustrophobic setting that the "" alien "" series been set in . 
this time the score is not so much a rip off of star trek ii ( james horner's aliens ) . 
this score has a choral back up at times and even lends itself to the old style of ennio morricone scoring . 
this is a great score . 
the ending to alien 3 is quite good . 
there were times i thought that hollywood would come in and screw it up , but it played very nicely . 
i will not ruin the ending for you . 
go see the film . 
i consider it to be a much more involved film than any of the other films released so far this season . 
alien 3 is a worthy successor to aliens and alien . 
and when they make alien 4 , perhaps they will be able to find yet another new direction to take it in . 
",pos
"the event of events is upon us . 
people have waited twenty-two years for the prequel to star wars and die-hard fans have been camping out at theaters for months to get tickets to see it . 
i don't think that america will ever actually recover from what this hurricane of a film has caused . 
it is not a bit of an exaggeration to say that this is the most highly anticipated movie in history . 
anyone who tells you "" it's just a movie "" is either lying or clueless . 
it is clearly obvious that after the waiting and the hype actually seeing the movie will be anticlimactic . 
the second coming of the lord could not live up to the kind of buzz ( which is far too weak a word ) that star wars epsode i : the phantom menace so effortlessly generated . 
but that does not mean that the film itself is bad . 
in fact , it is terrific . 
i strongly suspect that many of the people who were dissappointed by it have simply surrendered to the media machine and the inevitable backlash . 
it is set some decades before the events of the original 1977 star wars took place . 
the film focuses on the fledgling republic of planets and the conflict that is raging : the trade federation , angry at some tax raise that was recently put in place has invaded the small , peaceful planet of naboo . 
the republic sent two jedi knights ( people that can actively communicate with what is affectionately known as "" the force "" ) , qui-gon jinn ( liam neeson ) and obi-wan kenobi ( ewan mcgregor ) to negotiate . 
unable to stop the tide of events that was about to occur , the jedi and the queen of naboo ( natalie portman ) escape naboo and head for coruscant to try and get the republic senate to intervene . 
on the way they get sidetracked to a planet called tatooine , where they meet the movie's real focal point , young anakin skywalker ( jake lloyd ) . 
he is an innocent slave boy , but "" the force is strong with him "" so qui- gon is determined to take him with them to the jedi counsel and get him trained as a jedi . 
as any self-respecting star wars fan should know , anakin will grow up to be darth vader and give birth to luke skywalker . 
>from the beginning it is evident that this is not an actor's movie . 
around 70% of the characters , if not more , are computer generated in one form or another , and though the effects are seamless , the movie lacks soul . 
i think that although the computer has played an incredibly instrumental part in moviemaking this decade , cinema should still be a human art and the phantom menace nearly defies this . 
this is the lightest installment in the star wars saga thus far , with plenty of broad comic relief to go around , much of it courtesy of an irritating knew character named jar-jar binks . 
he's essentially a computer-animated sidekick who says things like "" exqueeze me ? "" 
and "" mesa go now , okeday ? "" , and although it is often amusing it is also inherently annoying . 
the visual effects are astounding ( although director george lucas often chickens out by cutting away from them ) and the movie is a thrilling triumph . 
if it lacks in plot and in acting it makes up for it through imagination and excitement . 
the climactic lightsaber battle ( oh , come on , as if you didn't already know ) , among other things , is outrageously entertaining and defines the term "" popcorn movie "" . 
what made me surrender and give this movie * * * 1/2 stars was the score by john williams . 
even though it does seem like the man scores every single movie that comes out these days , his work here is nothing short of brilliant . 
his use of opera during the climax really does add a punch and his ingenious way of utilizing the imperial march as a sort of prophecy is chilling . 
the phantom menace is probably most effective as pop nostalgia . 
when you see "" a long time ago , in a galaxy far , far away "" , when the familiar music plays , when the words "" star wars "" appear on screen , you'll feel a tingle even if you didn't see the movie when it first came out in '77 . 
it feels oddly exciting to be introduced to young anakin , a boy whose innocence , we know , will be taken away and who will soon cross over to the dark side . 
it is the perfect example of dramatic irony to see the jedi masters aspire to get him trained in the jedi arts ; we know that it will do more harm than good , but they do not . 
we not only feel more involved in the story , but we feel like we're seeing the beginning of a saga that we have cherished for years . 
the phantom menace , although lacking in human aspects of the story , is a very worthy installment in the star wars . 
it works as an action flick , visually eye-popping and often paralyzingly exciting ; it also works as an elicitor of memories , a piece of exquisite nostalgia . 
 ? 1999 eugene novikov&#137 ; 
",pos
"disaster films have a tendency to be very formulated and very cliched . 
to see a disaster film with actual originality , or at least a decent plot twist , would definitely be a welcome surprise . 
unfortunately , folks , it's not likely . 
dante's peak is cliched , and at times corny , but also pretty decent . 
to be honest , i wasn't very interested in seeing this film , and word of mouth , as well as several reviews , didn't make it sound promising . 
so i was pleasantly surprised that to find that this movie wasn't bad at all . 
it's pretty run of the mill , but it's not something i would say is merely "" ok "" to watch . 
in case you don't know , dante's peak is about a volcano and the city which lives in it's shadow , dante's peak ( who would've guessed , eh ? ) . 
pierce brosnan plays the volcanologist sent to study the volcano and , perhaps more by hunch than actual scientific proof , is determined that the volcano will be arupting in the very near future . 
due to the lack of more substantial evidence , nobody warns the small town , and when they finally do , it's in the middle of the town meeting that the volcano finally blows . 
brosnan , all around good guy , will , of course , save the day . 
 . 
 . 
or at least the mayor of dante's peak ( linda hamilton ) . 
naturally the two will become infatuated with one another . 
 ( if you think i just ruined a plot development , you haven't seen very many movies ! ) 
there's also the virtually neccessary kids and pet dog to tug at your heart strings . 
and of course , the kids or the dog ( at least one or the other ) will do something heroic . 
 . 
 . 
but hey , i don't want to ruin all the surprises ! 
if there was a part of you that was hesitating seeing dante's peak merely because it was rumored to be a waste of time , i urge you to watch it and decide for yourself . 
it's not brain food , but it succeeds at what it's meant to be . 
 . 
 . 
an enjoyable , suspenseful movie about the fury mother nature can unleash ! 
",pos
